Ticker,Expiration,TimeToMaturity,Strike,OptionType,LastPrice,Bid,Ask,ImpliedVolatility,BisectionIV,BisectionTime,Bs_price,Binom_price,American_binom_price,Binom_bisection_iv, Trinom_bisection_iv,InTheMoney
SPY,2025-02-21,0.019178,300,Call,298.74,306.7,307.41,2.19092,2.39585,0.008909,307.055,0,0,2.40079,0.0001,True
SPY,2025-02-21,0.019178,305,Call,289.01,301.66,302.42,2.13965,2.337,0.00412,302.04,0,0,2.34224,0.0001,True
SPY,2025-02-21,0.019178,310,Call,290.01,296.78,297.42,2.11133,2.30868,0.004371,297.1,0,0,2.31091,0.0001,True
SPY,2025-02-21,0.019178,315,Call,278.78,291.94,292.68,2.12256,2.33115,0.004217,292.31,0,0,2.33214,0.0001,True
SPY,2025-02-21,0.019178,320,Call,284.03,286.98,287.76,2.09131,2.29852,0.004359,287.37,0,0,2.30139,0.0001,True
SPY,2025-02-21,0.019178,325,Call,268.58,276.95,278.38,1e-05,0.0001,0.00052,281.223,0,0,0.0001,0.0001,True
SPY,2025-02-21,0.019178,330,Call,263.12,271.95,273.21,1e-05,0.0001,0.000549,276.227,0,0,0.0001,0.0001,True
SPY,2025-02-21,0.019178,335,Call,259.11,266.97,268.21,1e-05,0.0001,0.000458,271.231,0,0,0.0001,0.0001,True
SPY,2025-02-21,0.019178,340,Call,250.16,261.32,263.24,1e-05,0.0001,0.000517,266.235,0,0,0.0001,0.0001,True
SPY,2025-02-21,0.019178,345,Call,248.43,257,258.24,1e-05,0.0001,0.000461,261.239,0,0,0.0001,0.0001,True
SPY,2025-02-21,0.019178,350,Call,260.09,257.02,257.78,1.83545,2.01066,0.003962,257.4,0,0,2.01424,0.0001,True
SPY,2025-02-21,0.019178,355,Call,237.76,247.03,248.25,1e-05,0.0001,0.000453,251.247,0,0,0.0001,0.0001,True
SPY,2025-02-21,0.019178,360,Call,232.89,242.04,243.93,1e-05,0.0001,0.000581,246.251,0,0,0.0001,0.0001,True
SPY,2025-02-21,0.019178,365,Call,239.94,241.8,242.5,1.6582,1.79991,0.015065,242.15,0,0,1.80082,0.0001,True
SPY,2025-02-21,0.019178,370,Call,223.08,231.4,234.03,1e-05,0.0001,0.000512,236.259,0,0,0.0001,0.0001,True
SPY,2025-02-21,0.019178,375,Call,229.57,231.87,232.49,1.58667,1.72125,0.004116,232.18,0,0,1.72325,0.0001,True
SPY,2025-02-21,0.019178,380,Call,214.33,222.11,223.35,1e-05,0.0001,0.000599,226.267,0,0,0.0001,0.0001,True
SPY,2025-02-21,0.019178,385,Call,193.88,221.87,222.51,1.51221,1.63842,0.004524,222.19,0,0,1.64152,0.0001,True
SPY,2025-02-21,0.019178,390,Call,213.77,215.32,218.53,1.41748,1.51536,0.004316,216.925,0,0,1.51754,0.0001,True
SPY,2025-02-21,0.019178,395,Call,210.29,212.07,212.83,1.48633,1.61961,0.003691,212.45,0,0,1.61987,0.0001,True
SPY,2025-02-21,0.019178,400,Call,207.5,207.23,207.53,1.43604,1.5611,0.004332,207.38,0,0,1.56144,0.0001,True
SPY,2025-02-21,0.019178,405,Call,199,201.9,202.72,1.38672,1.50304,0.003501,202.31,0,0,1.50375,0.0001,True
SPY,2025-02-21,0.019178,410,Call,192.5,196.93,197.59,1.34131,1.45027,0.004403,197.26,0,0,1.45135,0.0001,True
SPY,2025-02-21,0.019178,415,Call,184.35,192.11,192.85,1.34229,1.45957,0.004541,192.48,0,0,1.46095,0.0001,True
SPY,2025-02-21,0.019178,420,Call,168.2,181.69,184.11,1e-05,0.0001,0.002415,186.299,0,0,0.0001,0.0001,True
SPY,2025-02-21,0.019178,425,Call,173.97,181.93,182.61,1.23633,1.33359,0.003855,182.27,0,0,1.33392,0.0001,True
SPY,2025-02-21,0.019178,430,Call,175.86,177.17,177.9,1.24268,1.34973,0.004398,177.535,0,0,1.35254,0.0001,True
SPY,2025-02-21,0.019178,435,Call,168.08,172.21,172.83,1.20508,1.30724,0.004181,172.52,0,0,1.30963,0.0001,True
SPY,2025-02-21,0.019178,440,Call,163.21,167.15,167.98,1.17627,1.27635,0.003846,167.565,0,0,1.27742,0.0001,True
SPY,2025-02-21,0.019178,445,Call,154.83,162.16,162.97,1.14112,1.23733,0.004,162.565,0,0,1.23798,0.0001,True
SPY,2025-02-21,0.019178,450,Call,151.63,156.98,157.85,1.08594,1.17141,0.004545,157.415,0,0,1.17381,0.0001,True
SPY,2025-02-21,0.019178,455,Call,150.48,152.06,152.65,1.04371,1.12242,0.004242,152.355,0,0,1.12538,0.0001,True
SPY,2025-02-21,0.019178,460,Call,142.24,147.19,147.93,1.03711,1.12147,0.004155,147.56,0,0,1.12151,0.0001,True
SPY,2025-02-21,0.019178,465,Call,135,142,142.66,0.973633,1.04384,0.015436,142.33,0,0,1.04582,0.0001,True
SPY,2025-02-21,0.019178,470,Call,131.63,137.01,137.63,0.93921,1.00559,0.004384,137.32,0,0,1.0071,0.0001,True
SPY,2025-02-21,0.019178,475,Call,124.84,132.2,132.63,0.918702,0.985853,0.004371,132.415,0,0,0.985978,0.0001,True
SPY,2025-02-21,0.019178,480,Call,121.25,127.22,127.96,0.906251,0.976969,0.004286,127.59,0,0,0.978103,0.0001,True
SPY,2025-02-21,0.019178,485,Call,120.6,122.07,122.65,0.846681,0.90471,0.003986,122.36,0,0,0.904765,0.0001,True
SPY,2025-02-21,0.019178,490,Call,112.11,117.05,117.66,0.813845,0.868386,0.003571,117.355,0,0,0.868424,0.0001,True
SPY,2025-02-21,0.019178,495,Call,110.55,112.06,112.67,0.782961,0.834678,0.004235,112.365,0,0,0.834867,0.0001,True
SPY,2025-02-21,0.019178,500,Call,103.36,107.31,108,0.781252,0.840115,0.0046,107.655,0,0,0.840227,0.0001,True
SPY,2025-02-21,0.019178,505,Call,100.76,102.31,103.03,0.750003,0.805912,0.004509,102.67,0,0,0.805791,0.0001,True
SPY,2025-02-21,0.019178,510,Call,95.3,97.32,97.9,0.711673,0.762515,0.004439,97.61,0,0,0.762399,0.0001,True
SPY,2025-02-21,0.019178,515,Call,89.76,92.1,92.71,0.659916,0.700913,0.015165,92.4057,0,0,0.701506,0.0001,True
SPY,2025-02-21,0.019178,520,Call,87.57,87.12,87.72,0.629764,0.668166,0.030092,87.42,0,0,0.668277,0.0001,True
SPY,2025-02-21,0.019178,525,Call,76.34,82.13,82.99,0.6106,0.650389,0.012331,82.5599,0,0,0.650704,0.0001,True
SPY,2025-02-21,0.019178,526,Call,76.33,81.33,82.04,0.61475,0.657371,0.004588,81.685,0,0,0.658648,0.0001,True
SPY,2025-02-21,0.019178,527,Call,73.42,80.38,81.07,0.611576,0.654552,0.004496,80.725,0,0,0.655273,0.0001,True
SPY,2025-02-21,0.019178,528,Call,77.83,79.35,80.17,0.607914,0.651075,0.003354,79.7599,0,0,0.651417,0.0001,True
SPY,2025-02-21,0.019178,529,Call,65.27,0,0,1e-05,0.0001,0.0004,77.3873,0,0,0.0001,0.0001,True
SPY,2025-02-21,0.019178,530,Call,69.6,77.32,77.74,0.576054,0.611986,0.004511,77.53,0,0,0.612582,0.0001,True
SPY,2025-02-21,0.019178,531,Call,74.71,76.35,77.18,0.588627,0.630111,0.004291,76.765,0,0,0.63013,0.0001,True
SPY,2025-02-21,0.019178,532,Call,77.6,74.98,75.79,0.55103,0.581288,0.015593,75.385,0,0,0.581225,0.0001,True
SPY,2025-02-21,0.019178,533,Call,66.79,73.97,74.81,0.545171,0.575043,0.004346,74.39,0,0,0.575027,0.0001,True
SPY,2025-02-21,0.019178,534,Call,59.58,72.98,73.8,0.538823,0.568202,0.003918,73.39,0,0,0.568234,0.0001,True
